Timestamp (UTC_TIME)	XBH4.EXPT.GIF.001:COUNTS	XBH4.EXPT.GIF.002:COUNTS	XBH4.EXPT.GIF.003:COUNTS	XBH4.EXPT.GIF.004:COUNTS
2016-08-23 00:31:15.735	3997	3297	1712	0
2016-08-23 00:31:33.735	1266	1035	538	0
2016-08-23 00:31:51.735	1766	1446	731	0
2016-08-23 00:32:09.735	1318	1087	538	0
2016-08-23 00:32:27.735	1620	1294	673	0
2016-08-23 00:32:45.735	1318	1093	556	0
2016-08-23 00:33:03.735	1611	1321	644	0
2016-08-23 00:33:44.535	1392	1138	556	0
2016-08-23 00:34:25.335	138	102	5	0
2016-08-23 00:35:06.135	138	88	3	0
2016-08-23 00:35:46.935	148	92	4	0
2016-08-23 00:36:27.735	148	95	3	0
2016-08-23 00:37:08.535	158	103	6	0
2016-08-23 00:37:49.335	138	104	0	0
2016-08-23 00:38:30.135	164	89	3	0
2016-08-23 00:39:10.935	148	99	1	0
2016-08-23 00:39:51.735	158	90	0	0
2016-08-23 00:40:32.535	166	93	6	0
2016-08-23 00:41:13.335	145	100	4	0
2016-08-23 00:41:54.135	155	99	4	0
2016-08-23 00:42:34.935	188	99	8	0
2016-08-23 00:43:15.735	165	106	3	0
2016-08-23 00:43:56.535	142	98	4	0
2016-08-23 00:44:37.335	1456	1200	582	0
2016-08-23 00:45:18.135	1753	1439	731	0
2016-08-23 00:45:58.935	1283	1060	516	0
2016-08-23 00:46:39.735	1389	1135	537	0
2016-08-23 00:47:20.535	1458	1148	568	0
2016-08-23 00:48:01.335	13145	10956	5830	0
2016-08-23 00:48:42.135	13196	10951	5884	0
2016-08-23 00:49:22.935	13732	11418	6103	0
2016-08-23 00:50:03.735	13872	11435	6113	0
2016-08-23 00:50:44.535	12690	10545	5660	0
2016-08-23 00:51:25.335	13165	10949	5822	0
2016-08-23 00:52:06.135	13451	11149	5920	0
2016-08-23 00:52:46.935	12901	10640	5655	0
2016-08-23 00:53:27.735	13558	11316	6030	0
2016-08-23 00:54:08.535	12746	10574	5615	0
2016-08-23 00:54:49.335	13833	11488	6060	0
2016-08-23 00:55:30.135	12702	10507	5549	0
2016-08-23 00:56:10.935	13308	11086	5906	0
2016-08-23 00:56:51.735	13571	11288	6023	0
2016-08-23 00:57:32.535	12873	10758	5742	0
2016-08-23 00:58:13.335	13225	10887	5840	0
2016-08-23 00:58:54.135	13576	11298	5982	0
2016-08-23 00:59:34.935	13888	11516	6046	0
2016-08-23 01:00:15.735	12872	10681	5632	0
2016-08-23 01:00:56.535	13578	11339	6010	0
