Timestamp (UTC_TIME)	XBH4.EXPT.GIF.001:COUNTS	XBH4.EXPT.GIF.002:COUNTS	XBH4.EXPT.GIF.003:COUNTS	XBH4.EXPT.GIF.004:COUNTS
2016-06-02 00:00:19.335	17740	14537	11291	0
2016-06-02 00:01:00.135	16309	13436	10417	0
2016-06-02 00:01:40.935	17098	13903	10847	0
2016-06-02 00:02:21.735	16630	13587	10529	0
2016-06-02 00:03:02.535	18457	15050	11768	0
2016-06-02 00:03:43.335	18162	14726	11490	0
2016-06-02 00:04:24.135	15783	12859	9929	0
2016-06-02 00:05:04.935	17483	14363	11050	0
2016-06-02 00:05:45.735	17559	14428	11221	0
2016-06-02 00:06:26.535	18171	14858	11615	0
2016-06-02 00:07:07.335	15957	12926	10070	0
2016-06-02 00:07:48.135	17671	14552	11281	0
2016-06-02 00:08:28.935	16688	13495	10555	0
2016-06-02 00:09:09.735	17672	14424	11281	0
2016-06-02 00:09:50.535	17700	14325	11100	0
2016-06-02 00:10:31.335	17762	14440	11301	0
2016-06-02 00:11:12.135	17764	14320	11175	0
2016-06-02 00:11:52.935	17916	14614	11491	0
2016-06-02 00:12:33.735	18119	14985	11665	0
2016-06-02 00:13:14.535	16468	13398	10465	0
2016-06-02 00:13:55.335	17657	14206	11118	0
2016-06-02 00:14:36.135	16479	13393	10424	0
2016-06-02 00:15:16.935	17765	14439	11321	0
2016-06-02 00:15:57.735	16010	12931	10073	0
2016-06-02 00:16:38.535	16351	13279	10372	0
2016-06-02 00:17:19.335	17499	14282	11134	0
2016-06-02 00:18:00.135	17624	14189	11113	0
2016-06-02 00:18:40.935	17020	13794	10744	0
2016-06-02 00:19:21.735	16528	13584	10511	0
2016-06-02 00:20:02.535	17844	14420	11243	0
2016-06-02 00:20:43.335	16356	13273	10372	0
2016-06-02 00:21:24.135	16128	13170	10242	0
2016-06-02 00:22:04.935	16534	13639	10617	0
2016-06-02 00:22:45.735	17330	13996	10962	0
2016-06-02 00:23:26.535	15666	12873	10029	0
2016-06-02 00:24:07.335	17369	14148	10980	0
2016-06-02 00:24:48.135	17004	13908	10794	0
2016-06-02 00:25:28.935	16513	13458	10468	0
2016-06-02 00:26:09.735	17127	13937	10811	0
2016-06-02 00:26:50.535	15536	12583	9802	0
2016-06-02 00:27:31.335	17920	14794	11453	0
2016-06-02 00:28:12.135	14465	11815	9244	0
2016-06-02 00:28:52.935	17605	14220	11111	0
2016-06-02 00:29:33.735	17175	13922	10913	0
2016-06-02 00:30:14.535	16811	13781	10678	0
2016-06-02 00:30:55.335	15498	12580	9827	0
2016-06-02 00:31:36.135	17115	13900	10874	0
2016-06-02 00:32:16.935	17393	14260	11151	0
2016-06-02 00:32:57.735	15867	13063	10108	0
2016-06-02 00:33:38.535	16861	13832	10764	0
2016-06-02 00:34:19.335	16756	13644	10716	0
2016-06-02 00:35:00.135	16799	13635	10663	0
2016-06-02 00:35:40.935	15518	12602	9796	0
2016-06-02 00:36:21.735	17077	13796	10793	0
2016-06-02 00:37:02.535	16054	13041	10213	0
2016-06-02 00:37:43.335	17426	14532	11291	0
2016-06-02 00:38:24.135	16306	13475	10426	0
2016-06-02 00:39:04.935	16826	13797	10652	0
2016-06-02 00:39:45.735	17493	14287	11109	0
2016-06-02 00:40:26.535	17179	14063	10883	0
2016-06-02 00:41:07.335	17695	14499	11260	0
2016-06-02 00:41:48.135	16219	13221	10298	0
2016-06-02 00:42:28.935	16625	13604	10619	0
2016-06-02 00:43:09.735	15297	12514	9726	0
2016-06-02 00:43:50.535	17832	14578	11394	0
2016-06-02 00:44:31.335	16718	13494	10547	0
2016-06-02 00:45:12.135	16285	13407	10420	0
2016-06-02 00:45:52.935	16278	13347	10398	0
2016-06-02 00:46:33.735	16957	13732	10697	0
2016-06-02 00:47:14.535	16706	13646	10646	0
2016-06-02 00:47:55.335	15775	12740	9907	0
2016-06-02 00:48:36.135	17862	14572	11379	0
2016-06-02 00:49:16.935	16456	13489	10500	0
2016-06-02 00:49:57.735	17905	14413	11307	0
2016-06-02 00:50:38.535	15094	12328	9525	0
2016-06-02 00:51:19.335	17290	14129	11058	0
2016-06-02 00:52:00.135	16711	13540	10644	0
2016-06-02 00:52:40.935	17502	14143	11143	0
2016-06-02 00:53:21.735	16597	13675	10608	0
2016-06-02 00:54:02.535	16269	13272	10386	0
2016-06-02 00:54:43.335	16623	13491	10514	0
2016-06-02 00:55:24.135	16295	13172	10301	0
2016-06-02 00:56:04.935	17268	13930	10871	0
2016-06-02 00:56:45.735	15073	12184	9486	0
2016-06-02 00:57:26.535	17363	14224	11068	0
2016-06-02 00:58:07.335	15882	13049	10121	0
2016-06-02 00:58:48.135	17385	14182	11056	0
2016-06-02 00:59:28.935	16677	13505	10517	0
2016-06-02 01:00:09.735	17814	14551	11261	0
2016-06-02 01:00:50.535	16335	13220	10320	0
2016-06-02 01:01:31.335	17356	14089	11028	0
